clean_text,sentiment
shib on the way to moon,neutral
crypto is a casino  is an invest,neutral
sends me msgs of love amp support donates litecoin to help the cause walks through nyc with me pushing for adoption uses their platform to promote me makes shirts and hats for me gives me the benefit of the doubt fights haters we are not a community a family,positive
,neutral
"the btc price is at  right now
 compared to the last tweet the price has dropped by  
 in the last  hours the price has increased by",positive
unprecedented collapse of eurozone economy amid virus lockdown,negative
very good resources to learn more about bitcoin even i learnt so much more in the first several lessons strongly recommended,positive
whole years inside a horizontal accumulation zone what other cryptocurrency has done this eth,neutral
this is definitely going to be huge  as the team has been an inspiration in their innovative approaches towards achieving the project is great,positive
"and the comments

read the comments too

 spx spy",neutral
the chinese market represented about  of teslas global electric car sales in  totaling  vehiclescant be good that tsla has raised the price by   as of now in china,positive
btc latest block info block  holds  transactions for a total of   including block reward block size  bytes,negative
do you have any good news to share with me today,positive
amzn updated  previous pts were met without any stress,positive
"it takes time but just orange pilled my cousin who is now ordering his first hardware wallet so worth it 

get your fam in the  life boat",positive
"did you know that the contract of pig token burns in every trade
did you know that the fee for matching pig tokens is transferred as holders and liquidity
 pig",neutral
interested in   has been following it for the past  years and you can check the ideas posted since then explained simply,positive
dent ico  eth collected  days to go dont miss it,positive
bitcoin price slow to react as us dollar rally stops at year highs,negative
so just woke up from a    spiked while i slept to  amp held  crept to  by eoy it seems  amp   decided to create the   w abt  of their cash  saw k by eoy   hey  welcome to  by  q,positive
hey i joined a network called surveyj and earned  today you get paid for surveys and posting on social media sign up with my link for an instant  signup bonus,positive
stocks may have hit a ceiling  forbes,neutral
is the queen of the shitcoins and im waiting slowly the,neutral
never lost a single argument against,negative
traders say bitcoins drop to k is an attractive entry for hodlers,positive
spx now trading at session highs up,neutral
"current  price alert 

  usd
 e btc
  eth

follow for recent cardano price updates",positive
russia says crypto is safe alternative for crossborder payments,positive
alot of dumb money jumping from projects to projects chasing green candles in the end  of them will get burned    to have odds on your side strong fundamentals amp low time preference  everything in between is just noise  btc vet bnb eth bat xrp,negative
"the current  price in usd is 

the current  price in cad is",neutral
relax and hodl,positive
ocean only in the green box you will have my interest,positive
"article what will happen to cardano if the us bans  mining projects like  because of the negative environmental impact 

 

     ada",negative
"fb below avg volume pattern 
daily appearances since  
performance close  days later 
avg 
worst 
best  

 days later
avg 
worst 
best  

 days later
avg 
worst 
best",positive
"the airdrop is still ongoing i just got mine mbg 

there will lunch their mbg token in days so hurry now and sign up


guys dont joke with this exchange token airdrop the uiux is really superb and im sure they mean business",positive
"cpi in  minutes 

good luck and prepare for scam wicks in both directions",positive
"interactive brokers group is integrating  trading amp custody capabilities to its platform

registered investment advisors will now be able to manage clients bitcoin stocks bonds options futures mutual funds amp etfs using a single platform",neutral
st bull case tsla  no competitionnew bull casecompetitions great for tslaglobal warming causes everything,positive
"im so grateful for this sentiment indicator that ive stopped blocking disrespectfulnasty bears 

unless theyre racist or homophobic i leave them unblocked so that i can continue to make money off of their palpable bearishness on equities and  

ted talk over",negative
smile energy teach nothing,positive
to the moon,neutral
"as soon as we do break the  barrier   will trade back at aths in no time    id rather be in it than miss the growth  

  is a super underrated bitcoiner
ive been taking her tweets and ta seriously amp ive  been doing great

follow her",positive
"top  crypto symbols with the highest trending count in the past  hours based on  minute intervals

eth 
btc 
rlc 
loka 
snm 

           

find your next  play",positive
goog projec,neutral
approaching ath be aware,neutral
ethereum funding rate at month low what does it mean for eth price,negative
optics i think we are getting close another role to play,positive
"look at all the 
shadowy super coders 

ill take any shadowy super coder over any lying politician",positive
trust me you wanna see sub k  before k,positive
"bitcoin dropped  to  this was the first time btc price was below  since march 

contentworks writes daily financial analysis for top finance brands
learn more",positive
aapl net cash has stayed roughly equal due to stock buybacks  debt having scrubbed away what would have been massive increase in,negative
"things are going great and theyre only getting better quick comparison how  responsible emission stacks up in the  crypto space
    
better  than",positive
"klp will be one to watch

     dot",neutral
pfe cat aapl m kss cost mcd bud twtr fb kr amzn,neutral
"what player is this
why was there always a bite taken outta these mfs
what goes on here",neutral
alright who decided to have bnbs last broadcast and ius fanmeet on the same day i can only handle being so emo all at once,positive
that wont be for another  years when  reaches  mined the world wont last that long so dont worry lol,positive
i glad to find this project this project is going to be great like what the devs are doing to make the project workout,positive
"jori_hex has a new video 

music just music  fnf podcast",neutral
cargurus carg  analysts weekly ratings updates,neutral
saudi energy minister says current cut of  mln bpd continues until end of  if there is need to take further measures by reducing production to balance supply and demand we always remain ready to intervene  state news agency,positive
"excellent   mining 

 signup bonus",positive
manage fomo in sudden wealth syndrome   with  amp hex monkey,positive
"check out my latest youtube video   
unseen elvis presley personally owned amp worn green polyester suit jacket  via",negative
this is what i like to see    decoupling from,positive
itrn reported earnings of  via,neutral
xbdfcdaffcbebfbfc,neutral
bed duplex  sqm amp right next to  beach like m or so superb central location around  btc  or approx m zil   take some  profits and live in,positive
has won the fight for liquidityif your project requires a specific token that is trying to be money yall ngmi,positive
spy aapl vrx   charlie  a jagoff of the lowest order amtd wasting their money,negative
amazon launch its web services database migration service  amzn  msft,positive
"there will be a great  soon after the recovery
a new crypto king will be made
it will flip   and",positive
just in  gets  over the sec as court orders production of etherisnotsecurity hinman speech,neutral
"mid month development update  december

 

         ada",neutral
breaking news elon musk says he dont own any shib but now he does                           shib btc doge amc,neutral
xtymcg found  in a user vault at this location join me playing  its awesome,positive
would you or max go and convince taleban to adopt,positive
paypal validating  will be the shot thats heard round the world,positive
"news about metaverse

titleorange luxembourg opens a digital centre in the metaverse  capacity media",neutral
aapl dont worry we all know it will rebound,positive
moreover long term it might be easier to provide inkind yield than cel since  isnt a security so ive reason to believe  can provide yield in kind to non accredited after regulatory clarity same for stable though that might require licensing,positive
is only correlated to spx if it dumps when it pumps back up btc doesnt follow haha,negative
signal to buy and signal to sell is one of excellent tools made by,positive
deeper issue is this statistically it is possible to be off the grid with reliability at par to the grid reliability statistically the most reliable install is solar with a load following battery and the grid as a backup call me crazy but consumers expect reliability tsla,negative
im gonna be really upset in  years if i cant retweet posts from these early days of,negative
earlier this year lg cns partnered with to whitelabel their tech and gain exposure to the market  must be the most bullish smallcap project  defi kai trx daps xvg xrp xlm neo rvn doge btt,positive
your exchange is really good top in the world hope k will be listed on your exchange one day,positive
"s
last block height  
 see more on",negative
you cant scam people and fill your own pockets when you build on  they need a shitcoin for that,positive
hasnt been this low since february,negative
good morning on watch for  aapl lly amgn nem fb etfs ewz gdx spec play sw,positive
wall street reacts to tslas job cutssuggests productivity gainsencouragedwe would be buyersstrongerset up for a more auspicious,neutral
never gonna happen until  adopts a  standard youre not pegged to the us dollar youre getting pegged by the us dollar,positive
positive numbers coming from cmdty bls industrials  ba xli intc stm txn  nflx jpm gs smh spy spx aapl bac pg yhoo chk wfc fb crm ge mu nflx,positive
"signal   

 buy now at or under 

target 

target 

target 

 stop loss 

 gooooo

clear breakout

  

to take part of our wonderful group now pm me",positive
long spy buyers at    i grab aapl and a bit late missed  cents lod,negative
q  earnings estimate for medpace holdings inc medp issued by keycorp,neutral
